Car,MPG,Cylinders,Displacement,Horsepower,weight,Acceleration,Model,Origin
STRING,FLOAT,INT,FLOAT,FLOAT,FLOAT,FLOAT,INT,CAT
Chevroiet Chevile Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
Blick Skylark 320,15.0,8,350.0,165.0,3693.0,11.5,70,US
Plymouth Sateliite,18.0,8,318.0,150.0,3436.0,11.0,70,US
AMC Rebel SST,16.0,8,304.0,150.0,3433.0,12.0,70,US
Ford Torono,17.0,8,302.0,140.0,3449.0,10.5,70,US
Ford Galaxie 500,15.0,8,429.0,198.0,4331.0,10.0,70,US
Chevrolet lmpala,14.0,8,454.0,220.0,4354.0,9.0,70,US
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.0,8.5,70,US
